"","group","topic 1","topic 2","topic 3","topic 4","topic 5","topic 6","topic 7","topic 8","topic 9","topic 10","topic 11","topic 12","topic 13","topic 14","topic 15","topic 16","topic 17","topic 18","topic 19","topic 20"
"business","online",0,0,0.049,0,0,0,0.046,0.196,0,0.009,0,0.074,0,0,0.101,0.065,0,0.023,1,0
"separate","online",0,0,0.057,0,0,0,0,0.04,0,0,0,0.044,0.139,0,0.097,0.088,0.014,0.021,1,0
"marked","online",0.022,0.006,0.031,0.012,0.024,0,0,0.036,0,0,0,0.013,0.142,0,0.062,0.088,0.009,0.031,1,0
"holiday","online",0.01,0.014,0.02,0.013,0.025,0.004,0,0.071,0,0,0,0.044,0.146,0,0.061,0.068,0.01,0.023,1,0
"game","sports",0,0,0,0.043,0.002,0.059,0,0.021,0.018,0,0.099,0.004,0.005,0,0.103,0,0.105,1,0.137,0.018
"ball","sports",0,0,0,0,0,0,0.066,0,0,0.128,0,0.069,0,0,0.007,0,0.069,1,0.072,0.006
"guy","sports",0,0,0.101,0,0,0,0.094,0,0,0.009,0,0,0.069,0,0.159,0.014,0,1,0.049,0
"run","sports",0.075,0.092,0,0.052,0.071,0.127,0,0.005,0.116,0.025,0,0.09,0,0.111,0,0,0,1,0.043,0.118
"allowed","sports",0.016,0.029,0,0.021,0.024,0.039,0.035,0,0.035,0,0.002,0.05,0,0.026,0.149,0,0.004,1,0.009,0.023
"threw","sports",0,0,0,0,0,0.051,0,0,0.02,0.076,0,0.029,0,0.022,0.006,0,0.019,1,0.042,0.05
"throw","sports",0,0,0,0,0,0,0.137,0.095,0.003,0.022,0,0,0,0,0,0,0.113,1,0.013,0.03
"left","sports",0,0,0,0,0,0,0.252,0.11,0,0.098,0,0.023,0,0.007,0.102,0,0.027,1,0.128,0.065
"play","sports",0,0,0,0,0,0,0.106,0.009,0,0,0.086,0,0.001,0,0.306,0,0.097,1,0.135,0.086
"starter","sports",0.036,0.023,0.009,0.011,0.02,0.095,0,0,0.033,0.026,0,0.092,0,0.029,0,0.129,0,1,0,0.031
"","",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
