"","group","topic 1","topic 2","topic 3","topic 4","topic 5","topic 6","topic 7","topic 8","topic 9","topic 10","topic 11","topic 12","topic 13","topic 14","topic 15","topic 16","topic 17","topic 18","topic 19","topic 20"
"companies","economy",0,0,1,0,0,0,0,0,0,0,0.086,0,0,0,0,0.325,0,0.379,0.715,0
"children","education",0,0,0,0.036,0,0,0,0,0,0,0.088,0.092,0,0,1,0,0.065,0.128,0.296,0
"reading","education",0.104,0.025,0,0,0.031,0,0,0,0,0.114,0,0.019,0,0,1,0.136,0.057,0,0.153,0
"campus","education",0.036,0.108,0.017,0,0.075,0.171,0.003,0,0.151,0,0,0.063,0.003,0.132,1,0,0.019,0,0.02,0.205
"learn","education",0,0,0.077,0,0,0,0,0,0,0.028,0,0,0.001,0,1,0.02,0,0.23,0.377,0
"prayer","education",0,0.01,0.018,0.008,0.008,0,0,0,0.025,0,0.001,0,0,0,1,0,0,0.085,0.384,0.022
"application","education",0,0,0.225,0,0,0,0,0.02,0,0,0.027,0,0.044,0,1,0.098,0.019,0,0.136,0
"literature","education",0,0.046,0.08,0,0.048,0.02,0.096,0.22,0,0,0,0.131,0,0,1,0.165,0.027,0,0,0
"deaf","education",0,0,0.059,0,0,0,0,0,0,0.016,0.096,0,0,0,1,0,0.114,0.067,0.133,0
"learning","education",0.099,0,0.066,0,0,0.004,0,0,0.02,0.21,0,0,0.001,0.043,1,0.051,0,0.13,0.16,0.058
"textbook","education",0.02,0.068,0.037,0,0.048,0.076,0,0,0.073,0,0,0.081,0,0.059,1,0.141,0.012,0,0.034,0.092
"com","online",0.026,0.056,0,0.057,0.053,0,0,0,0.096,0,0.014,0.05,0.154,0.007,0.056,0,0,0.017,1,0.052
"information","online",0,0.031,0.053,0.028,0.031,0,0,0,0.063,0,0,0.014,0.2,0,0.138,0.059,0.031,0,1,0.014
"www","online",0.02,0.045,0,0.053,0.023,0,0,0,0.131,0.021,0.029,0,0,0.046,0,0,0,0,1,0.171
"zzz_eastern","online",0.004,0.033,0.011,0.04,0.04,0,0,0,0.051,0,0.007,0.019,0.266,0,0.067,0.069,0.013,0.015,1,0
"commentary","online",0.001,0.031,0.014,0.042,0.039,0,0,0,0.047,0,0.013,0.013,0.278,0,0.069,0.072,0.016,0.021,1,0
"web","online",0,0.039,0,0.09,0.03,0,0,0,0.108,0,0.103,0.026,0,0.011,0.012,0,0,0,1,0.134
"business","online",0,0,0.056,0,0,0,0,0,0,0.013,0,0.078,0.016,0,0.109,0.068,0,0.026,1,0
"separate","online",0,0,0.065,0,0,0,0,0,0.006,0,0,0.049,0.245,0,0.108,0.097,0.016,0.024,1,0
"marked","online",0,0.019,0.035,0.022,0.025,0,0,0,0.035,0,0,0.014,0.246,0,0.069,0.097,0.01,0.036,1,0
"holiday","online",0,0.036,0.023,0.029,0.035,0,0,0,0.067,0,0,0.049,0.247,0,0.07,0.076,0.012,0.027,1,0.002
"game","sports",0,0,0,0.057,0,0,0,0,0,0,0.131,0.004,0.008,0,0.103,0,0.105,1,0.114,0.031
"ball","sports",0,0,0,0,0,0,0,0,0,0.086,0,0.07,0,0,0.008,0,0.07,1,0.09,0
"guy","sports",0,0,0.098,0,0,0,0,0.006,0,0.007,0,0,0.078,0,0.158,0.015,0,1,0.041,0
"run","sports",0.121,0.137,0,0.052,0.124,0.111,0,0,0.135,0,0,0.091,0,0.129,0,0,0,1,0.018,0.113
"allowed","sports",0.027,0.04,0,0.018,0.041,0.02,0.004,0,0.033,0,0,0.05,0,0.027,0.15,0,0.004,1,0.005,0.013
"threw","sports",0.03,0.012,0,0,0.001,0.039,0,0,0.03,0.057,0,0.029,0,0.036,0.006,0,0.019,1,0.034,0.043
"throw","sports",0,0.02,0,0,0.005,0.037,0.091,0,0.03,0,0,0,0,0.02,0,0,0.114,1,0.022,0.015
"left","sports",0.001,0.003,0,0,0,0.044,0.179,0,0.04,0.046,0,0.024,0,0.035,0.106,0,0.027,1,0.125,0.056
"play","sports",0,0,0,0,0,0.016,0,0,0,0,0.187,0,0.007,0,0.306,0,0.097,1,0.121,0.101
"starter","sports",0.054,0.043,0.007,0.004,0.042,0.028,0,0.044,0.032,0.018,0,0.092,0,0.038,0,0.129,0,1,0,0.027
"","",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
