"","group","topic 1","topic 2","topic 3","topic 4","topic 5","topic 6","topic 7","topic 8","topic 9","topic 10","topic 11","topic 12","topic 13","topic 14","topic 15","topic 16","topic 17","topic 18","topic 19","topic 20"
"survey","economy",0,0,0.761,0,0,0,0,0,0,0,0,0,0.069,0,1,0.249,0.013,0,0,0.334
"companies","economy",0,0,1,0,0,0,0,0,0,0,0.147,0,0,0,0,0.36,0,0.374,0,0
"children","education",0,0.032,0,0.109,0.042,0.002,0,0,0,0,0.107,0.091,0,0.016,1,0,0.064,0.129,0,0.044
"reading","education",0.189,0.03,0,0,0.07,0,0,0,0,0.11,0,0.019,0,0.059,1,0.129,0.056,0,0,0
"campus","education",0.068,0.091,0.023,0,0.064,0.252,0,0.115,0,0,0,0.063,0,0.201,1,0,0.019,0,0.198,0.271
"learn","education",0,0,0.086,0,0,0,0,0,0,0.059,0,0,0,0,1,0.022,0,0.23,0,0.074
"prayer","education",0.064,0.073,0.041,0.082,0.077,0.035,0.031,0,0,0,0.019,0,0,0.086,1,0,0,0.085,0,0.092
"application","education",0,0,0.236,0,0,0,0.047,0.078,0,0,0.033,0,0.024,0,1,0.105,0.019,0,0,0
"literature","education",0,0.102,0.075,0,0.091,0.067,0.114,0,0,0,0,0.13,0,0.014,1,0.16,0.026,0,0.022,0.095
"deaf","education",0,0,0.066,0.052,0,0.003,0.015,0,0,0.018,0.113,0,0,0,1,0,0.113,0.067,0,0.042
"learning","education",0.15,0,0.064,0,0,0.065,0,0.014,0,0.244,0,0,0,0.114,1,0.052,0,0.13,0.01,0.153
"textbook","education",0.078,0.073,0.016,0,0.071,0.111,0,0,0,0,0,0.081,0,0.139,1,0.137,0.012,0,0,0.194
"com","online",0.271,0.407,0,0.493,0.385,0,0,0,0.06,0,0.064,0.572,1,0.197,0.649,0,0,0.214,0,0.111
"information","online",0,0.029,0.376,0.087,0.004,0,0,0,0,0,0,0.104,0.997,0,1,0.426,0.222,0,0,0
"www","online",0.437,0.6,0,0.605,0.49,0.349,0,0,0.617,0.004,0.235,0,0,0.596,0,0,0,0,0,1
"zzz_eastern","online",0,0.02,0,0.106,0.053,0,0,0,0,0,0,0.095,1,0,0.338,0.328,0.062,0.084,0,0
"commentary","online",0,0.002,0,0.111,0.038,0,0,0,0,0,0.024,0.062,1,0,0.329,0.326,0.075,0.107,0,0
"web","online",0.053,0.54,0,1,0.492,0.014,0,0,0.387,0,0.884,0.222,0,0.301,0.115,0,0,0,0,0.915
"business","online",0,0,0.449,0,0,0,0.268,0,0,0.066,0,0.709,0,0,1,0.618,0,0.247,0,0
"separate","online",0,0,0.298,0,0,0,0,0,0,0,0,0.266,1,0,0.597,0.529,0.085,0.142,0,0
"marked","online",0,0,0.112,0.036,0,0,0,0,0,0,0,0.079,1,0,0.383,0.515,0.054,0.204,0,0
"holiday","online",0,0.05,0.068,0.027,0.039,0,0,0,0,0,0,0.274,1,0,0.396,0.412,0.064,0.16,0,0
"game","sports",0,0,0,0.084,0,0.007,0,0.054,0,0,0.135,0.004,0,0,0.102,0,0.105,1,0.015,0.038
"ball","sports",0,0,0,0,0,0,0.038,0,0,0.065,0,0.069,0,0,0.006,0,0.069,1,0,0
"guy","sports",0,0,0.115,0,0,0,0.08,0.103,0,0.031,0,0,0.064,0,0.156,0.018,0,1,0.021,0.001
"run","sports",0.133,0.145,0,0.07,0.134,0.094,0,0,0.14,0,0,0.09,0,0.136,0,0,0,1,0,0.119
"allowed","sports",0.041,0.057,0,0.05,0.051,0.013,0.051,0,0.005,0,0,0.05,0,0.044,0.147,0,0.004,1,0,0.036
"threw","sports",0.036,0.009,0,0,0.001,0.023,0,0,0.029,0.052,0,0.029,0,0.039,0.005,0,0.019,1,0,0.047
"throw","sports",0.004,0.051,0,0,0.031,0.045,0.132,0,0.042,0,0,0,0,0.033,0,0,0.113,1,0.001,0
"left","sports",0.033,0.042,0,0,0.013,0.093,0.244,0,0.024,0.032,0,0.023,0,0.06,0.102,0,0.027,1,0.066,0.004
"play","sports",0,0,0.027,0,0,0.089,0.083,0.401,0,0.014,0.188,0,0,0,0.304,0,0.097,1,0.267,0.062
"starter","sports",0.043,0.02,0,0.023,0.019,0,0,0,0.035,0.024,0,0.092,0.005,0.029,0,0.125,0,1,0,0.069
"","",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
