"","group","topic 1","topic 2","topic 3","topic 4","topic 5","topic 6","topic 7","topic 8","topic 9","topic 10","topic 11","topic 12","topic 13","topic 14","topic 15","topic 16","topic 17","topic 18","topic 19","topic 20"
"com","online",0.289,0.39,0,0,0.537,0,0,0,0.111,0,0,0.567,1,0.162,0.533,0,0,0.214,0,0.007
"information","online",0,0.057,0.334,0,0.16,0,0,0,0,0,0,0.105,1,0,0.942,0.435,0.222,0,0,0
"www","online",0.626,0.643,0,0.522,0.833,0.586,0,0,0.823,0,0.171,0,0,0.766,0,0,0,0,0,1
"zzz_eastern","online",0,0.021,0.009,0,0.124,0,0,0.163,0,0,0,0.094,1,0,0.359,0.343,0.062,0.084,0,0
"commentary","online",0,0,0.02,0,0.092,0,0,0.198,0,0,0,0.061,1,0,0.356,0.341,0.076,0.107,0,0
"web","online",0,0.467,0,0.836,0.604,0.237,0,0,0.44,0,1,0.271,0,0.304,0.044,0,0,0,0,0.789
"business","online",0,0,0.35,0,0,0,0,0,0,0,0.038,0.604,0,0,1,0.537,0,0.22,0,0
"separate","online",0,0,0.304,0,0,0,0,0.052,0,0,0,0.266,1,0,0.652,0.539,0.085,0.145,0,0
"marked","online",0,0,0.14,0,0.113,0,0,0.062,0,0,0,0.079,1,0,0.422,0.533,0.055,0.205,0,0
"holiday","online",0,0.073,0.084,0,0.116,0,0,0.233,0,0,0,0.273,1,0,0.383,0.425,0.064,0.161,0,0
"game","sports",0,0,0,0.079,0,0.025,0,0.023,0,0,0.143,0.004,0,0,0.107,0,0.105,1,0,0.027
"ball","sports",0,0,0,0,0,0,0,0,0,0.033,0,0.07,0,0,0.015,0,0.07,1,0,0
"guy","sports",0,0,0.094,0,0,0,0,0.075,0,0,0,0,0.068,0,0.163,0.017,0,1,0,0
"run","sports",0.139,0.171,0,0.024,0.187,0.09,0,0,0.154,0.003,0,0.091,0,0.139,0,0,0,1,0.042,0.121
"allowed","sports",0.04,0.055,0,0,0.075,0.002,0.014,0,0.022,0,0,0.05,0,0.038,0.127,0,0.004,1,0,0.032
"threw","sports",0.049,0.015,0,0,0.021,0.026,0,0,0.038,0.049,0,0.029,0,0.045,0,0,0.019,1,0,0.043
"throw","sports",0.009,0.067,0,0,0.066,0.029,0.095,0,0.053,0,0,0,0,0.038,0,0,0.114,1,0,0.006
"left","sports",0.055,0.042,0,0,0.044,0.066,0.188,0,0.051,0.006,0,0.023,0,0.071,0.076,0,0.027,1,0,0.038
"play","sports",0,0,0,0.098,0,0.118,0,0.165,0,0,0.237,0,0,0,0.314,0,0.097,1,0,0.063
"starter","sports",0.052,0.041,0.004,0,0.056,0,0,0,0.038,0.03,0,0.092,0.002,0.032,0,0.13,0,1,0,0.046
"","",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
