"","group","topic 1","topic 2","topic 3","topic 4","topic 5","topic 6","topic 7","topic 8","topic 9","topic 10","topic 11","topic 12","topic 13","topic 14","topic 15","topic 16","topic 17","topic 18","topic 19","topic 20"
"zzz_eastern","online",0,0.015,0.005,0,0.115,0,0,0.163,0,0,0,0.094,1,0,0.355,0.343,0.062,0.084,0,0
"commentary","online",0,0,0.016,0,0.082,0,0,0.198,0,0,0,0.061,1,0,0.351,0.341,0.076,0.107,0,0
"web","online",0,0.506,0,0.853,0.655,0.229,0,0,0.457,0,1,0.271,0,0.321,0.069,0,0,0,0,0.793
"business","online",0,0,0.35,0,0,0,0,0,0,0,0.037,0.623,0,0,1,0.556,0,0.227,0,0
"separate","online",0,0,0.299,0,0,0,0,0.053,0,0,0,0.266,1,0,0.641,0.539,0.085,0.144,0,0
"marked","online",0,0,0.135,0,0.105,0,0,0.062,0,0,0,0.079,1,0,0.414,0.532,0.055,0.205,0,0
"holiday","online",0,0.065,0.08,0,0.107,0,0,0.232,0,0,0,0.273,1,0,0.388,0.425,0.064,0.161,0,0
"game","sports",0,0,0,0.077,0,0.029,0,0.024,0,0,0.143,0.004,0,0,0.109,0,0.105,1,0,0.024
"ball","sports",0,0,0,0,0,0,0,0,0,0.034,0,0.07,0,0,0.014,0,0.07,1,0,0
"guy","sports",0,0,0.094,0,0,0,0,0.075,0,0,0,0,0.068,0,0.164,0.017,0,1,0,0
"run","sports",0.139,0.172,0,0.028,0.187,0.086,0,0,0.154,0.001,0,0.091,0,0.14,0,0,0,1,0.041,0.124
"allowed","sports",0.04,0.055,0,0,0.076,0,0.014,0,0.021,0,0,0.05,0,0.039,0.134,0,0.004,1,0,0.034
"threw","sports",0.05,0.015,0,0,0.022,0.025,0,0,0.038,0.049,0,0.029,0,0.045,0,0,0.019,1,0,0.044
"throw","sports",0.01,0.068,0,0,0.067,0.026,0.096,0,0.054,0,0,0,0,0.039,0,0,0.114,1,0,0.007
"left","sports",0.055,0.043,0,0,0.044,0.064,0.188,0,0.05,0.005,0,0.023,0,0.071,0.085,0,0.027,1,0,0.039
"play","sports",0,0,0,0.089,0,0.13,0,0.165,0,0,0.236,0,0,0,0.317,0,0.097,1,0,0.054
"starter","sports",0.052,0.04,0.004,0,0.056,0,0,0,0.038,0.03,0,0.092,0.002,0.033,0,0.13,0,1,0,0.048
"","",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
