"","group","topic 1","topic 2","topic 3","topic 4","topic 5","topic 6","topic 7","topic 8","topic 9","topic 10","topic 11","topic 12","topic 13","topic 14","topic 15","topic 16","topic 17","topic 18","topic 19","topic 20"
"prayer","education",0,0,0.022,0,0,0.046,0.048,0.079,0.022,0.006,0,0,0,0,1,0,0,0.083,0.333,0.035
"application","education",0,0,0.221,0,0,0,0.042,0.112,0,0,0,0,0.019,0,1,0.095,0.019,0,0.131,0
"literature","education",0,0.009,0.086,0,0.005,0,0.143,0.005,0,0,0,0.129,0,0,1,0.163,0.026,0,0,0.021
"deaf","education",0,0,0.056,0,0,0,0.027,0.021,0,0.03,0.063,0,0,0,1,0,0.113,0.065,0.065,0
"learning","education",0.058,0,0.064,0,0,0.071,0,0.108,0,0.205,0,0,0,0.027,1,0.05,0,0.129,0.175,0.049
"textbook","education",0,0.009,0.037,0,0,0.128,0,0.109,0.047,0.042,0,0.08,0,0.034,1,0.14,0.012,0,0.004,0.107
"com","online",0.034,0.033,0,0.033,0.039,0.031,0,0.027,0.022,0,0.015,0.045,0.07,0.021,0.05,0,0,0.014,1,0
"information","online",0.003,0.01,0.047,0.01,0.021,0.003,0,0.03,0,0,0,0.012,0.108,0,0.123,0.052,0.027,0,1,0
"www","online",0.012,0.022,0,0.015,0,0.126,0,0.004,0.072,0.049,0.014,0,0,0.06,0,0,0,0,1,0.125
"zzz_eastern","online",0.025,0.018,0.009,0.026,0.038,0,0,0.014,0,0,0.01,0.017,0.163,0,0.061,0.062,0.011,0.013,1,0
"commentary","online",0.026,0.018,0.012,0.028,0.04,0,0,0.017,0,0,0.015,0.012,0.173,0,0.063,0.065,0.015,0.018,1,0
"web","online",0.005,0.036,0,0.054,0.03,0.103,0,0,0.064,0,0.076,0.024,0,0.042,0.012,0,0,0,1,0.082
"business","online",0,0,0.051,0,0,0,0.018,0.196,0,0.014,0,0.074,0,0,0.101,0.065,0,0.023,1,0
"separate","online",0,0,0.058,0,0,0,0,0.04,0,0,0,0.044,0.143,0,0.097,0.088,0.014,0.021,1,0
"marked","online",0.016,0.003,0.031,0.01,0.023,0,0,0.036,0,0,0,0.013,0.145,0,0.062,0.088,0.009,0.032,1,0
"holiday","online",0.007,0.013,0.021,0.011,0.024,0,0,0.071,0,0,0,0.044,0.148,0,0.062,0.068,0.01,0.024,1,0
"game","sports",0,0,0,0.047,0,0.06,0,0.021,0.014,0,0.105,0.004,0.004,0,0.104,0,0.105,1,0.137,0.017
"ball","sports",0,0,0,0,0,0,0.034,0,0,0.124,0,0.069,0,0,0.007,0,0.069,1,0.071,0.011
"guy","sports",0,0,0.1,0,0,0,0.066,0,0,0.01,0,0,0.071,0,0.16,0.014,0,1,0.049,0
"run","sports",0.086,0.095,0,0.05,0.076,0.147,0,0.005,0.117,0.015,0,0.09,0,0.115,0,0,0,1,0.043,0.115
"allowed","sports",0.021,0.029,0,0.02,0.026,0.052,0.044,0,0.035,0,0,0.05,0,0.029,0.15,0,0.004,1,0.009,0.02
"threw","sports",0.007,0,0,0,0,0.072,0,0,0.02,0.071,0,0.029,0,0.027,0.007,0,0.019,1,0.042,0.048
"throw","sports",0,0,0,0,0,0.019,0.132,0.095,0.012,0.014,0,0,0,0.002,0,0,0.113,1,0.013,0.035
"left","sports",0,0,0,0,0,0.017,0.243,0.11,0.01,0.089,0,0.023,0,0.011,0.101,0,0.027,1,0.128,0.075
"play","sports",0,0,0,0,0,0.014,0.069,0.008,0,0,0.108,0,0.001,0,0.307,0,0.097,1,0.135,0.095
"starter","sports",0.04,0.023,0.011,0.01,0.022,0.083,0,0,0.027,0.023,0,0.092,0,0.033,0,0.13,0,1,0,0.022
"","",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
