"","group","topic 1","topic 2","topic 3","topic 4","topic 5","topic 6","topic 7","topic 8","topic 9","topic 10","topic 11","topic 12","topic 13","topic 14","topic 15","topic 16","topic 17","topic 18","topic 19","topic 20"
"deaf","education",0.014,0,0.063,0.084,0,0.026,0,0,0,0,0.127,0,0,0.027,1,0,0.114,0.067,0,0.031
"learning","education",0.255,0,0.068,0.016,0.059,0.08,0,0.004,0,0.117,0,0,0,0.165,1,0.051,0,0.131,0.014,0.141
"textbook","education",0.176,0.109,0.032,0.035,0.194,0.126,0,0,0,0,0,0.081,0,0.193,1,0.138,0.012,0,0.01,0.184
"com","online",0.292,0.328,0,0.433,0.412,0,0,0,0.03,0,0,0.575,1,0.183,0.662,0,0,0.218,0,0.074
"information","online",0,0,0.338,0.066,0.055,0,0,0,0,0,0,0.105,0.988,0,1,0.429,0.22,0,0,0
"www","online",0.666,0.772,0,0.977,0.941,0.466,0,0,0.803,0,0.235,0,0,0.776,0,0,0,0,0,1
"zzz_eastern","online",0,0,0,0.023,0.034,0,0,0.147,0,0,0,0.095,1,0,0.34,0.339,0.062,0.084,0,0
"commentary","online",0,0,0,0.028,0.005,0,0,0.181,0,0,0,0.062,1,0,0.331,0.337,0.076,0.107,0,0
"web","online",0.063,0.414,0,1,0.556,0.121,0,0,0.327,0,0.722,0.183,0,0.261,0.108,0,0,0,0,0.591
"business","online",0,0,0.397,0,0,0,0,0,0,0,0.055,0.711,0,0,1,0.63,0,0.252,0,0
"separate","online",0,0,0.285,0,0,0,0,0.04,0,0,0,0.267,1,0,0.597,0.537,0.085,0.143,0,0
"marked","online",0,0,0.109,0,0.016,0,0,0.045,0,0,0,0.08,1,0,0.385,0.528,0.055,0.205,0,0
"holiday","online",0,0.007,0.06,0,0.02,0,0,0.216,0,0,0,0.274,1,0,0.398,0.421,0.064,0.161,0,0
"game","sports",0,0,0,0.097,0,0.016,0,0.033,0,0,0.14,0.005,0,0,0.105,0,0.105,1,0,0.035
"ball","sports",0,0,0,0,0,0,0.008,0,0,0.036,0,0.069,0,0,0.008,0,0.069,1,0,0
"guy","sports",0,0,0.102,0,0,0,0.029,0.073,0,0,0,0,0.067,0,0.159,0.018,0,1,0,0.005
"run","sports",0.14,0.171,0,0.097,0.177,0.082,0,0,0.154,0,0,0.091,0,0.141,0,0,0,1,0.037,0.124
"allowed","sports",0.052,0.054,0,0.078,0.077,0.004,0.031,0,0.01,0,0,0.05,0,0.049,0.151,0,0.004,1,0,0.041
"threw","sports",0.048,0.018,0,0.028,0.021,0.017,0,0,0.036,0.049,0,0.029,0,0.046,0.007,0,0.019,1,0,0.049
"throw","sports",0.014,0.068,0,0,0.064,0.022,0.116,0,0.054,0,0,0,0,0.04,0,0,0.114,1,0,0.004
"left","sports",0.063,0.048,0,0,0.045,0.063,0.218,0,0.04,0,0,0.023,0,0.077,0.106,0,0.027,1,0,0.038
"play","sports",0,0,0,0,0,0.102,0.035,0.195,0,0,0.209,0,0,0,0.306,0,0.097,1,0,0.075
"starter","sports",0.046,0.034,0,0.057,0.043,0,0,0,0.038,0.035,0,0.093,0.002,0.03,0,0.128,0,1,0,0.058
"","",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
