"","group","topic 1","topic 2","topic 3","topic 4","topic 5","topic 6","topic 7","topic 8","topic 9","topic 10","topic 11","topic 12","topic 13","topic 14","topic 15","topic 16","topic 17","topic 18","topic 19","topic 20"
"deaf","education",0,0,0.056,0,0,0,0,0.042,0,0.024,0.085,0,0,0,1,0,0.113,0.066,0.066,0
"learning","education",0.091,0,0.066,0,0,0.049,0,0.098,0.005,0.202,0,0,0,0.046,1,0.05,0,0.13,0.176,0.049
"textbook","education",0.006,0.043,0.043,0,0.021,0.1,0,0.095,0.063,0.002,0,0.081,0,0.055,1,0.141,0.012,0,0.004,0.1
"com","online",0.037,0.041,0,0.04,0.049,0.005,0,0.025,0.027,0,0.013,0.045,0.069,0.023,0.05,0,0,0.015,1,0
"information","online",0.005,0.02,0.046,0.019,0.033,0,0,0.035,0,0,0,0.013,0.11,0,0.123,0.053,0.027,0,1,0
"www","online",0.025,0.025,0,0.024,0.009,0.093,0,0,0.068,0.036,0.019,0,0,0.063,0,0,0,0,1,0.118
"zzz_eastern","online",0.02,0.024,0.011,0.03,0.043,0,0,0.025,0,0,0.008,0.017,0.167,0,0.061,0.063,0.011,0.013,1,0
"commentary","online",0.019,0.023,0.013,0.033,0.044,0,0,0.029,0,0,0.014,0.012,0.177,0,0.062,0.066,0.015,0.018,1,0
"web","online",0.001,0.03,0,0.063,0.029,0.042,0,0,0.052,0,0.086,0.024,0,0.033,0.012,0,0,0,1,0.081
"business","online",0,0,0.054,0,0,0,0,0.202,0,0.02,0,0.074,0,0,0.101,0.064,0,0.024,1,0
"separate","online",0,0,0.059,0,0.002,0,0,0.055,0,0,0,0.044,0.149,0,0.097,0.088,0.014,0.021,1,0
"marked","online",0.012,0.01,0.033,0.015,0.029,0,0,0.047,0,0,0,0.013,0.15,0,0.062,0.089,0.009,0.032,1,0
"holiday","online",0.01,0.022,0.022,0.018,0.034,0,0,0.073,0,0,0,0.044,0.15,0,0.062,0.069,0.01,0.024,1,0
"game","sports",0,0,0,0.062,0,0.03,0,0.015,0.005,0,0.127,0.004,0.001,0,0.104,0,0.105,1,0.138,0.023
"ball","sports",0,0,0,0,0,0.005,0,0,0,0.101,0,0.07,0,0,0.008,0,0.07,1,0.072,0
"guy","sports",0,0,0.095,0,0,0,0.001,0,0,0,0,0,0.075,0,0.161,0.013,0,1,0.049,0
"run","sports",0.113,0.122,0,0.058,0.108,0.13,0.004,0,0.13,0,0,0.091,0,0.129,0,0.001,0,1,0.043,0.112
"allowed","sports",0.032,0.041,0,0.03,0.044,0.031,0.015,0,0.039,0,0,0.05,0,0.034,0.151,0,0.004,1,0.009,0.017
"threw","sports",0.025,0.006,0,0,0,0.049,0,0,0.028,0.058,0,0.029,0,0.035,0.007,0,0.019,1,0.042,0.043
"throw","sports",0,0.005,0,0,0,0.066,0.105,0.081,0.026,0,0,0,0,0.022,0,0,0.114,1,0.013,0.021
"left","sports",0,0,0,0,0,0.097,0.198,0.09,0.03,0.064,0,0.024,0,0.039,0.105,0,0.027,1,0.128,0.056
"play","sports",0,0,0,0,0,0.057,0.007,0,0,0,0.161,0,0,0,0.308,0,0.097,1,0.135,0.092
"starter","sports",0.054,0.041,0.015,0.018,0.043,0.019,0,0,0.034,0.012,0,0.092,0,0.037,0,0.131,0,1,0,0.027
"","",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
