"","group","topic 1","topic 2","topic 3","topic 4","topic 5","topic 6","topic 7","topic 8","topic 9","topic 10","topic 11","topic 12","topic 13","topic 14","topic 15","topic 16","topic 17","topic 18","topic 19","topic 20"
"campus","education",0.26,0.338,0.715,0.854,0.324,0.962,0.953,0.176,0.761,0.602,0.917,0.588,0.692,0.735,0.362,0.223,0,0.453,0.633,0.252
"learn","education",0.494,0.213,0.266,0.631,0.88,0.849,0.176,0.371,0.877,0.224,0.958,0.599,0.129,0.813,0.637,0.524,0.218,0,0.2,0.332
"prayer","education",0.605,0.962,0.174,0.73,0.861,0.442,0.125,0.785,0.447,0.082,0.85,0.607,0.063,0.884,0,0.005,0.965,0.659,0.346,0.475
"application","education",0.777,0,0.736,0.709,0.446,0.58,0.316,0.132,0.381,0.947,0.193,0.339,0.3,0.038,0.504,0.852,0.93,0.734,0.363,0.271
"literature","education",0.66,0.864,0.912,0,0.434,0.051,0.186,0.868,0.124,0.043,0.5,0.252,0.325,0.768,0.82,0.648,0.363,0.607,0.144,0.58
"deaf","education",0.524,0.447,0.182,0.201,0,0.649,0.334,0.191,0.628,0.068,0.701,0.671,0.702,0.207,0.22,0.718,0.304,0.415,0.545,0.822
"learning","education",0.383,0.475,0.408,0.77,0.706,0,0.009,0.075,0.592,0.03,0.827,0.549,0.006,0.7,0.752,0.806,0.408,0.4,0.007,0.35
"textbook","education",0.571,0.152,0.512,0.557,0.189,0.653,0,0.32,0.554,0.329,0.63,0.367,0.119,0.971,0.672,0.692,0.71,0.786,0.893,0.537
"com","online",0.658,0.796,0.363,0.707,0,0.632,0.799,0.706,0.129,0.082,0.393,0.268,0.35,0.868,0.476,0.819,0.361,0.308,0.645,0.616
"information","online",0.466,0.044,0.081,0.85,0.696,0.021,0.589,0.766,0.106,0.221,0.864,0.136,0.941,0.986,0,0.395,0.168,0.571,0.096,0.029
"www","online",0.936,0.975,0.359,0.645,0.063,0.205,0.035,0.468,0.146,0.995,0.426,0.959,0.726,0.581,0.54,0.707,0,0.784,0.93,0.003
"zzz_eastern","online",0.722,0.665,0.895,0.124,0.818,0.539,0.001,0.164,0.661,0.703,0,0.367,0.115,0.821,0.217,0.755,0.156,0.776,0.084,0.657
"commentary","online",0.019,0.648,0.57,0.374,0.206,0.802,0.137,0.49,0,0.179,0.486,0.85,0.132,0.741,0.698,0.022,0.49,0.987,0.103,0.752
"web","online",0.575,0.53,0.432,0.503,0.358,0,0.219,0.496,0.57,0.874,0.922,0.018,0.599,0.539,0.407,0.286,0.408,0.608,0.903,0.013
"business","online",0.773,0.559,0.892,0.051,0.25,0,0.469,0.743,0.24,0.18,0.29,0.416,0.71,0.475,0.343,0.885,0.947,0.597,0.083,0.587
"separate","online",0.34,0.954,0.243,0.666,0.494,0.149,0.649,0.005,0.14,0,0.847,0.801,0.073,0.368,0.075,0.531,0.912,0.213,0.953,0.307
"marked","online",0.161,0.63,0.946,0.586,0.012,0.33,0.117,0.184,0,0.873,0.761,0.33,0.801,0.721,0.585,0.351,0.315,0.038,0.297,0.51
"holiday","online",0.513,0.733,0.576,0.933,0.082,0.517,0.667,0.189,0.692,0.028,0.65,0.966,0.56,0.488,0.143,0,0.865,0.912,0.315,0.103
"game","sports",0.088,0.317,0.757,0.108,0.266,0.903,0.743,0.158,0.936,0,0.362,0.341,0.337,0.048,0.361,0.55,0.925,0.156,0.29,0.203
"ball","sports",0.276,0.17,0,0.438,0.227,0.869,0.519,0.915,0.977,0.578,0.099,0.928,0.586,0.884,0.412,0.6,0.049,0.926,0.636,0.084
"guy","sports",0.624,0.315,0,0.131,0.166,0.144,0.627,0.679,0.469,0.475,0.554,0.914,0.557,0.523,0.836,0.493,0.254,0.885,0.36,0.524
"run","sports",0.736,0.688,0.151,0,0.222,0.906,0.551,0.441,0.402,0.798,0.66,0.664,0.092,0.404,0.488,0.339,0.46,0.301,0.802,0.348
"allowed","sports",0.736,0.49,0.754,0.977,0.528,0.94,0.209,0.908,0.065,0.473,0,0.839,0.168,0.153,0.17,0.714,0.205,0.295,0.796,0.511
"threw","sports",0.954,0.059,0.457,0.599,0.592,0.864,0.13,0.313,0,0.998,0.803,0.788,0.144,0.365,0.157,0.52,0.848,0.663,0.722,0.67
"throw","sports",0.72,0.864,0.607,0.114,0.547,0.095,0.915,0,0.288,0.555,0.439,0.803,0.5,0.166,0.698,0.079,0.641,0.614,0.168,0.116
"left","sports",0.154,0.137,0.191,0.962,0,0.965,0.01,0.979,0.289,0.522,0.868,0.902,0.177,0.661,0.948,0.984,0.094,0.167,0.749,0.034
"play","sports",0.067,0.486,0.848,0.996,0,0.54,0.859,0.907,0.843,0.877,0.744,0.113,0.506,0.165,0.829,0.926,0.166,0.882,0.385,0.379
"starter","sports",0.26,0.891,0.758,0.447,0.724,0.972,0.157,0.231,0.651,0.829,0.876,0.394,0.095,0.057,0.354,0.85,0.2,0.81,0.666,0
"","",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
