"","group","topic 1","topic 2","topic 3","topic 4","topic 5","topic 6","topic 7","topic 8","topic 9","topic 10","topic 11","topic 12","topic 13","topic 14","topic 15","topic 16","topic 17","topic 18","topic 19","topic 20"
"application","education",0,0,1,0,0,0,0,0.085,0,0,0.273,0,0.115,0,0,0.458,0.086,0,0,0
"literature","education",0,1,0.507,0,0.585,0,0.603,0,0.092,0,0,0.773,0,0,0.313,0.938,0.16,0,0.288,0.257
"deaf","education",0,0,0.397,0.453,0,0,0,0,0,0,1,0,0,0,0,0,0.902,0.537,0,0
"learning","education",0.789,0,0.259,0.158,0.158,0.432,0,0,0.039,1,0,0,0,0.399,0,0.246,0,0.604,0,0.25
"textbook","education",0.502,0.79,0.179,0,1,0.848,0,0,0.532,0,0,0.568,0,0.735,0,0.962,0.085,0,0,0.72
"com","online",0.348,0.45,0,0.233,0.503,0.143,0,0,0.086,0,0,0.565,1,0.225,0,0,0,0.218,0,0.038
"information","online",0,0.128,0.311,0,0.133,0,0,0.047,0,0,0,0.106,1,0,0,0.431,0.222,0,0,0
"www","online",0.77,0.492,0,0.876,0.922,0.952,0,0,0.749,0.083,0.246,0,0,0.941,0,0,0,0,0,1
"zzz_eastern","online",0,0.073,0,0,0.083,0,0,0.188,0,0,0,0.094,1,0,0,0.337,0.062,0.084,0,0
"commentary","online",0,0.048,0,0,0.052,0,0,0.219,0,0,0,0.062,1,0,0,0.335,0.075,0.106,0,0
"web","online",0.06,0.251,0,1,0.506,0.454,0,0,0.257,0,0.892,0.228,0,0.361,0,0,0,0,0,0.637
"business","online",0,0,0.433,0,0,0,0,0,0,0,0.05,1,0,0,0,0.889,0,0.357,0,0
"separate","online",0,0,0.253,0,0,0,0,0.1,0,0,0,0.266,1,0,0,0.533,0.085,0.142,0,0
"marked","online",0,0.038,0.08,0,0.071,0,0,0.105,0,0,0,0.079,1,0,0,0.524,0.054,0.203,0,0
"holiday","online",0,0.17,0.018,0,0.094,0,0,0.307,0,0,0,0.273,1,0,0,0.423,0.064,0.162,0.083,0
"game","sports",0,0,0,0.111,0,0.143,0,0.041,0,0,0.149,0.005,0,0,0,0,0.105,1,0,0.056
"ball","sports",0,0,0,0,0,0.106,0,0,0,0.026,0,0.07,0,0,0,0,0.069,1,0,0.004
"guy","sports",0,0,0.094,0,0,0.06,0,0.099,0,0,0,0,0.065,0,0,0.02,0,1,0.011,0.015
"run","sports",0.163,0.159,0,0.027,0.198,0.236,0.002,0,0.134,0.007,0,0.091,0,0.166,0.007,0,0,1,0.04,0.15
"allowed","sports",0.053,0.048,0,0.001,0.078,0.138,0.014,0,0.025,0,0,0.051,0,0.052,0,0,0.004,1,0,0.051
"threw","sports",0.076,0.015,0,0.017,0.037,0.174,0,0,0.022,0.052,0,0.03,0,0.073,0,0.001,0.019,1,0,0.073
"throw","sports",0.022,0.073,0,0,0.07,0.133,0.093,0,0.051,0,0,0,0,0.049,0.093,0,0.113,1,0.001,0.044
"left","sports",0.058,0.064,0,0,0.051,0.152,0.183,0,0.071,0,0,0.024,0,0.07,0.166,0,0.027,1,0.02,0.07
"play","sports",0,0,0,0.102,0,0.163,0,0.226,0,0,0.239,0,0,0,0.018,0,0.097,1,0.028,0.095
"starter","sports",0.09,0.036,0,0.047,0.076,0.155,0,0,0.01,0.035,0,0.093,0.002,0.072,0,0.13,0,1,0,0.073
"","",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
