"","group","topic 1","topic 2","topic 3","topic 4","topic 5","topic 6","topic 7","topic 8","topic 9","topic 10","topic 11","topic 12","topic 13","topic 14","topic 15","topic 16","topic 17","topic 18","topic 19","topic 20"
"poll","economy",0.005,0,1,0.245,0,0,0,0,0,0.018,0.326,0,0.184,0,0,0,0,0.012,0,0
"survey","economy",0,0,1,0,0,0,0,0,0,0,0,0,0.096,0,0,0.324,0.018,0,0,0.029
"companies","economy",0,0,1,0.148,0,0.041,0,0,0,0,0.456,0,0,0,0,0.388,0,0.413,0,0
"children","education",0,0,0,0.084,0,0.921,0,0,0,0,0.708,0.711,0,0,0,0,0.496,1,0,0.252
"reading","education",0.987,0.449,0,0,1,0.138,0,0,0,0.561,0,0.111,0,0.068,0,0.714,0.31,0,0,0
"campus","education",0.224,0.762,0.148,0,0.538,0,0.05,0.288,1,0,0,0.382,0,0.849,0,0,0.118,0,0.679,0.754
"learn","education",0.069,0,0.285,0,0,0.912,0,0,0,0.041,0,0,0,0,0,0.105,0,1,0,0.308
"prayer","education",0.289,0.34,0.18,0,0.691,1,0.056,0,0,0,0,0,0,0.258,0,0,0,0.644,0,0.464
"application","education",0,0,1,0,0,0,0,0.048,0,0,0.285,0,0.128,0,0,0.45,0.084,0,0,0
"literature","education",0,1,0.417,0,0.568,0,0.541,0,0.127,0,0,0.722,0,0,0.103,0.884,0.149,0,0.353,0.119
"deaf","education",0,0,0.414,0.487,0,0.302,0,0,0,0,1,0,0,0,0,0,0.887,0.541,0,0
"learning","education",0.876,0,0.26,0.184,0.171,0.892,0,0,0,1,0,0,0,0.486,0,0.246,0,0.606,0,0.497
"textbook","education",0.504,0.764,0.169,0,1,0.53,0,0,0.536,0,0,0.591,0,0.764,0,0.995,0.089,0,0,0.677
"com","online",0.431,0.503,0,0.193,0.57,0.436,0,0,0.041,0,0,0.563,1,0.301,0,0,0,0.214,0,0.243
"information","online",0,0.177,0.286,0,0.19,0.05,0,0.022,0,0,0,0.105,1,0,0,0.433,0.221,0,0,0
"www","online",0.776,0.399,0,0.853,0.861,0.59,0,0,0.788,0.142,0.244,0,0,1,0,0,0,0,0,0.983
"zzz_eastern","online",0.028,0.131,0,0,0.145,0.025,0,0.189,0,0,0,0.094,1,0,0,0.338,0.062,0.084,0,0
"commentary","online",0.007,0.107,0,0,0.114,0.03,0,0.222,0,0,0,0.061,1,0,0,0.336,0.075,0.107,0,0
"web","online",0,0.182,0,1,0.437,0,0,0,0.285,0,0.948,0.244,0,0.335,0,0,0,0,0,0.491
"business","online",0,0,0.396,0,0,0.163,0,0,0,0,0.08,1,0,0,0,0.9,0,0.376,0,0
"separate","online",0,0,0.231,0,0,0,0,0.1,0,0,0,0.264,1,0,0,0.534,0.085,0.144,0,0
"marked","online",0.033,0.104,0.055,0,0.14,0.072,0,0.112,0,0,0,0.079,1,0,0,0.525,0.054,0.204,0,0
"holiday","online",0.003,0.221,0,0,0.153,0.141,0,0.303,0,0,0,0.272,1,0,0,0.423,0.064,0.162,0.095,0
"game","sports",0,0,0,0.111,0,0.745,0,0.056,0,0,0.147,0.006,0,0.067,0.137,0,0.105,1,0.007,0.33
"ball","sports",0.074,0,0,0,0,0.729,0,0,0,0.027,0,0.071,0,0.08,0.211,0,0.07,1,0,0.285
"guy","sports",0.032,0,0.088,0,0,0.718,0.004,0.127,0,0,0,0,0.064,0.039,0.212,0.023,0,1,0.05,0.31
"run","sports",0.256,0.185,0,0.009,0.227,0.845,0.016,0,0.054,0.007,0,0.092,0,0.26,0.229,0,0,1,0.068,0.435
"allowed","sports",0.147,0.078,0,0,0.107,0.779,0.027,0,0,0,0,0.051,0,0.144,0.219,0,0.005,1,0,0.339
"threw","sports",0.169,0.038,0,0.012,0.062,0.79,0,0,0,0.051,0,0.03,0,0.165,0.171,0.003,0.019,1,0.001,0.356
"throw","sports",0.112,0.102,0,0,0.098,0.76,0.107,0,0,0,0,0,0,0.139,0.31,0,0.114,1,0.038,0.328
"left","sports",0.145,0.089,0,0,0.075,0.764,0.196,0,0,0,0,0.025,0,0.156,0.379,0,0.027,1,0.057,0.35
"play","sports",0,0,0,0.116,0,0.678,0,0.22,0,0,0.241,0,0,0,0.209,0,0.097,1,0.041,0.333
"starter","sports",0.187,0.061,0,0.041,0.105,0.796,0,0,0,0.033,0,0.093,0,0.168,0.093,0.132,0,1,0.007,0.365
"","",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
