"","group","topic 1","topic 2","topic 3","topic 4","topic 5","topic 6","topic 7","topic 8","topic 9","topic 10","topic 11","topic 12","topic 13","topic 14","topic 15","topic 16","topic 17","topic 18","topic 19","topic 20"
"rates","economy",0.387,0.407,0.062,0,0.583,0,0.467,0.56,0.199,0.063,0,0,1,0.086,0.161,0.355,0,0,0.374,0
"economist","economy",0.185,0.294,0.674,0,0.415,0,0.013,0.505,0.029,0,0,0,1,0,0,0.959,0,0,0.261,0
"poll","economy",0,0,1,0.24,0,0,0,0,0,0.027,0.323,0,0.18,0,0,0,0,0.011,0,0
"survey","economy",0,0,1,0,0,0,0,0,0,0,0,0,0.093,0,0,0.321,0.018,0,0,0.049
"companies","economy",0,0,1,0.085,0,0,0,0,0,0,0.461,0,0,0,0,0.404,0,0.425,0,0
"children","education",0,0.006,0,0.105,0,0.634,0,0,0,0,0.707,0.711,0,0,0,0,0.496,1,0,0.083
"reading","education",0.984,0.427,0,0,1,0,0,0,0,0.596,0,0.116,0,0.032,0,0.744,0.323,0,0,0
"campus","education",0.295,0.83,0.143,0,0.589,0.529,0.072,0.335,0.999,0,0,0.396,0,0.931,0,0,0.122,0,0.753,1
"learn","education",0.013,0,0.282,0,0,0.61,0,0,0,0.034,0,0,0,0,0,0.103,0,1,0,0.123
"prayer","education",0.336,0.46,0.257,0,0.916,1,0.074,0,0.045,0,0,0,0,0.289,0,0,0,0.822,0,0.412
"application","education",0,0,1,0,0,0,0,0.07,0,0,0.28,0,0.122,0,0,0.453,0.085,0,0,0
"literature","education",0,1,0.46,0,0.579,0,0.567,0,0.108,0,0,0.745,0,0,0.261,0.91,0.154,0,0.325,0.198
"deaf","education",0,0,0.404,0.46,0,0.219,0,0,0,0,1,0,0,0,0,0,0.895,0.542,0,0
"learning","education",0.849,0,0.254,0.158,0.172,0.771,0,0,0,1,0,0,0,0.456,0,0.249,0,0.611,0,0.392
"textbook","education",0.504,0.777,0.177,0,1,0.691,0,0,0.532,0,0,0.575,0,0.746,0,0.971,0.086,0,0,0.697
"com","online",0.391,0.488,0,0.193,0.542,0.323,0,0,0.066,0,0,0.565,1,0.264,0,0,0,0.219,0,0.134
"information","online",0,0.156,0.298,0,0.163,0,0,0.042,0,0,0,0.105,1,0,0,0.433,0.221,0,0,0
"www","online",0.788,0.467,0,0.848,0.917,0.759,0,0,0.781,0.116,0.243,0,0,0.979,0,0,0,0,0,1
"zzz_eastern","online",0,0.105,0,0,0.113,0,0,0.196,0,0,0,0.094,1,0,0,0.338,0.062,0.084,0,0
"commentary","online",0,0.081,0,0,0.082,0,0,0.229,0,0,0,0.062,1,0,0,0.337,0.075,0.107,0,0
"web","online",0.036,0.232,0,1,0.496,0.182,0,0,0.283,0,0.935,0.241,0,0.358,0,0,0,0,0,0.578
"business","online",0,0,0.404,0,0,0,0,0,0,0,0.064,1,0,0,0,0.899,0,0.373,0,0
"separate","online",0,0,0.244,0,0,0,0,0.11,0,0,0,0.265,1,0,0,0.535,0.085,0.144,0,0
"marked","online",0,0.076,0.069,0,0.105,0,0,0.12,0,0,0,0.079,1,0,0,0.526,0.054,0.204,0,0
"holiday","online",0,0.202,0.009,0,0.124,0.038,0,0.317,0,0,0,0.273,1,0,0,0.425,0.064,0.163,0.103,0
"game","sports",0,0,0,0.104,0,0.537,0,0.069,0,0,0.147,0.005,0,0.03,0,0,0.105,1,0.023,0.207
"ball","sports",0.037,0,0,0,0,0.512,0,0,0,0.016,0,0.07,0,0.044,0.073,0,0.07,1,0,0.159
"guy","sports",0,0,0.084,0,0,0.489,0,0.134,0,0,0,0,0.064,0.001,0.07,0.023,0,1,0.059,0.176
"run","sports",0.217,0.185,0,0.01,0.216,0.63,0.011,0,0.087,0,0,0.091,0,0.22,0.09,0,0,1,0.08,0.305
"allowed","sports",0.107,0.076,0,0,0.096,0.549,0.021,0,0,0,0,0.051,0,0.105,0.075,0,0.005,1,0.002,0.207
"threw","sports",0.13,0.04,0,0.007,0.053,0.574,0,0,0,0.041,0,0.03,0,0.126,0.028,0.004,0.019,1,0.016,0.227
"throw","sports",0.074,0.101,0,0,0.088,0.537,0.101,0,0.006,0,0,0,0,0.101,0.178,0,0.114,1,0.047,0.199
"left","sports",0.11,0.09,0,0,0.067,0.556,0.191,0,0.026,0,0,0.024,0,0.121,0.252,0,0.027,1,0.068,0.226
"play","sports",0,0,0,0.107,0,0.533,0,0.246,0,0,0.24,0,0,0,0.093,0,0.097,1,0.064,0.238
"starter","sports",0.145,0.061,0,0.035,0.093,0.561,0,0,0,0.025,0,0.093,0.001,0.127,0,0.133,0,1,0.02,0.228
"","",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
